id,titel_datei,quelle,jahr,pre_post,zitat,modus,zweitkategorie_grenzfall,begruendung,nachvollziehbarkeit_rolle,beer_dimension_ziel,beer_dimension_ziel_begruendung
11,upskilling mascello.pdf,unternehmensjurist,2025,post,"Wer als General Counsel einen Platz am Tisch einnehmen will, muss sich als Leader des Unternehmens verstehen. [...] Kenntnisse zur Strategieentwicklung, zu Geschaeftsmodellen und zu Risiko- und Krisenmanagement.",Coalescing,Creating/Coalescing,"Grenzfall Creating (neues Kompetenzprofil) vs. Coalescing (Statusverschiebung/'Platz am Tisch' als Machtfrage). [Entscheid 03.08.2026: Coalescing, analog zur anderen Mascello-Stelle -- Statusverschiebung/Machtfrage.]",,,
12,"AJP 2024 S. 1082, C. Lötscher et al..pdf",AJP,2024,post,"Aus verfassungsrechtlicher Sicht de lege lata wohl unzulässig dürfte die Delegation der Entscheidfindung an eine KI-Richterin sein. Nach wie vor gilt nach herrschender Auffassung, dass der Mensch die Letztverantwortung tragen muss.",Defending,,Verfassungsrechtlich begruendete Grenzziehung -- gleiches Muster wie Braun Binder und Kohlmeier (rechtliches Gehoer/Letztverantwortung).,thematisiert,smart,"Delegation der Entscheidfindung an KI-Richterin verfassungsrechtlich unzulaessig, Letztverantwortung Mensch"
13,"AJP 2024 S. 1082, C. Lötscher et al..pdf",AJP,2024,post,Vor diesem Hintergrund duerfte am ehesten ein kombiniertes Modell 'Richterin plus Roboter' realistisch sein. [...] ist u.E. auf ein Modell 'Richterin plus Gerichtsschreiber plus Roboter' abzuzielen.,Defending,,"Abgestufte/instrumentelle Variante des Defending -- KI als Werkzeug im Rahmen fortbestehender menschlicher Kontrolle, kein neues Feld/keine Aussenkooperation.",kein_bezug,smart,KI als Werkzeug im Rahmen fortbestehender menschlicher Entscheidungskontrolle
14,"Anwaltsrevue 2024 S. 360, D. Schwaninger et al..pdf",Anwaltsrevue,2024,post,Die Grenzen von Large Language Models liegen insbesondere in ihrer mangelnden Faehigkeit zur kritischen Analyse und ethischen Bewertung. [...] Juristen sollten Large Language Models daher eher als unterstuetzendes Werkzeug betrachten und nicht als Ersatz fuer fundierte juristische Fachkenntnisse.,Defending,,"Lehrbuchhaftes Defending, fast wortgleich mit dem Codierregel-Beispiel.",kein_bezug,smart,Mangelnde Faehigkeit zur kritischen Analyse/ethischen Bewertung -- Lehrbuchfall fuer smart
15,"Anwaltsrevue 2024 S. 366, R. Köchli.pdf",Anwaltsrevue,2024,post,"Als Auftragnehmende haftet der Rechtsanwalt bzw. die Rechtsanwaeltin fuer eine allfaellige Schlechterfuellung seines oder ihres Auftrags. Sie koennen sich nicht darauf berufen, die KI habe einen Fehler gemacht.",Defending,,"Kernstelle der offiziellen SAV-Wegleitung -- wird von mehreren anderen Texten im Korpus zitiert/paraphrasiert (von Gunten, Mehmetaj). Zentrales Ankerbeispiel.",thematisiert,smart,Haftung fuer KI-Fehler beim Anwalt: KI-Urteil/-Resultat nicht vertrauenswuerdig genug fuer Verantwortungsuebernahme
16,"Anwaltsrevue 2024 S. 366, R. Köchli.pdf",Anwaltsrevue,2024,post,"Dabei ist es wichtig zu wissen, dass eine KI nicht dazu in der Lage ist, die von ihr generierten Resultate zu ueberpruefen.",Defending,,"Epistemische Grenzziehung: KI kann sich nicht selbst kontrollieren, daher menschliche Pruefpflicht.",praemisse,panoramisch,KI kann generierte Resultate nicht selbst ueberpruefen -- fehlende Selbstkontrolle/Vollstaendigkeit der Pruefung
17,"Anwaltsrevue 2025 S. 377, A. von Gunten.pdf",Anwaltsrevue,2025,post,"Der 'Human in the Loop' ist somit keine blosse Empfehlung, sondern eine zwingende berufliche Verpflichtung. Anwaeltinnen und Anwaelte bleiben die alleinigen Garanten [...]. Die Haftung kann nicht an die Maschine delegiert werden, wie auch die Wegleitung des SAV unmissverstaendlich festhaelt.",Defending,,Direkter Verweis auf die SAV-Wegleitung (s. Köchli 2024) -- Beleg fuer korpusweite Vernetzung der Defending-Argumentation.,thematisiert,smart,"Human in the Loop zwingend, Haftung nicht an Maschine delegierbar"
18,"Anwaltsrevue 2025 S. 377, A. von Gunten.pdf",Anwaltsrevue,2025,post,Der unersetzliche Mehrwert der menschlichen Anwaeltin liegt kuenftig in: strategischem Urteilsvermoegen [...]; ethischer Verantwortung [...]; Empathie und Verhandlungsgeschick [...]; Uebernahme der Letztverantwortung. [...] Gute Juristinnen und Juristen werden dadurch nicht ueberfluessig -- sie werden wichtiger denn je.,Defending,Defending/Creating,"Paradebeispiel fuer 'Defending durch Erhebung': repetitive Aufgaben werden abgegeben, Anspruch auf hoeherwertige Taetigkeiten neu formuliert (Adjusting/restating). Wiederkehrendes Muster im gesamten Korpus.",thematisiert,smart,Unersetzlicher Mehrwert v.a. ueber strategisches Urteilsvermoegen/Letztverantwortung definiert
19,"ZZZ 62_2023 S. 101, P. Haberbeck.pdf",ZZZ,2023,post,"Allerdings erfordert die Anwaltschaft auch Faehigkeiten, die von KI-Systemen nicht einfach ersetzt werden koennen, wie z.B. menschliche Empathie [...]. Insgesamt wird sich die Rolle von Anwaelten [...] wahrscheinlich veraendern, aber ihre Dienste werden auf absehbare Zeit unverzichtbar bleiben.",Defending,,Bemerkenswert: Autor laesst ChatGPT selbst diese Defending-Aussage formulieren ('Fair enough...') -- KI wird als Zeuge fuer die eigene Unentbehrlichkeit des Menschen instrumentalisiert. Eigene Beobachtung wert.,kein_bezug,andere,"Menschliche Empathie als nicht ersetzbare Faehigkeit, keine Beer-Dimension einschlaegig"
20,"ZZZ 62_2023 S. 101, P. Haberbeck.pdf",ZZZ,2023,post,"Sollte der Beruf des Juristen [...] irgendwann vollstaendig durch KI ersetzt werden, von A bis Z, dann waeren gefuehlt 99% aller Kopfarbeiter in der Berufswelt ueberfluessig. Wir koennen nur hoffen, dass sich die Menschheit nie so radikal ins Abseits stellen wird.",Defending,,Reductio-ad-absurdum-Verteidigung.,kein_bezug,andere,"Reductio-ad-absurdum, keine spezifische Dimension angegriffen"
21,"Anwaltsrevue 2023 S. 289, S. Selman et al..pdf",Anwaltsrevue,2023,pre,"Daher wird die Rolle des Rechtsanwaltes oder der Rechtsanwaeltin nicht ueberfluessig, sondern wandelt sich zu einer noch staerkeren Berater- und Strategierolle, waehrend repetitive Aufgaben zunehmend von KI uebernommen werden koennten.",Defending,Defending/Creating,"Gleiches 'Defending durch Erhebung'-Muster wie von Gunten/Feller -- frueher Beleg (2023) fuer ein Muster, das sich durchs ganze Korpus zieht.",kein_bezug,andere,"Rollenverschiebung zu Berater-/Strategierolle, repetitive Aufgaben ohne Dimensionsbezug abgegeben"
22,"Anwaltsrevue 2023 S. 323, M. Lips et al..pdf",Anwaltsrevue,2023,pre,"Der Fokus wird staerker auf Taetigkeiten gerichtet, die nicht durch Generative AI ersetzt werden koennen.",Defending,,Schwaches/beilaeufiges Signal in einem sonst rein quantitativ-oekonomischen Text (Effizienzberechnung). Ueberwiegend neutral.,kein_bezug,andere,"Schwaches, oekonomisch gerahmtes Signal ohne spezifische Dimension"
23,"Anwaltsrevue 2024 S. 103, P. Sutter.pdf",Anwaltsrevue,2024,post,[...] kommerzielle Anbieter [...] in einem intensiv ausgetragenen Verdraengungswettbewerb um die Anwaeltinnen und Anwaelte buhlen [...],Defending,,"Marktkonkurrenz zwischen Vermittlungsplattformen, nicht direkt KI-vs-Mensch. Eher Randthema fuer diesen Korpus, kein sauberer BW-Fall. [Entscheid 03.08.2026: Defending -- Verdraengungswettbewerb als implizite Anerkennung stattfindender Boundary-Defense, Bernhards Lesart.]",kein_bezug,andere,"Marktkonkurrenz zwischen Vermittlungsplattformen, oekonomisch statt dimensionsbezogen"
24,Anwaltsrevue 2024 S. 358.pdf,Anwaltsrevue,2024,post,"Viele in unserer Branche begegnen der KI noch mit Skepsis. Die Angst, dass Maschinen uns bald ersetzen koennten, ist weit verbreitet. Doch [...] 'KI wird Anwaeltinnen und Anwaelte nicht bald ueberfluessig machen.' Die Technologie dient vielmehr als Unterstuetzung, nicht als Ersatz.",Defending,Defending/Neutral,"Editorial der Anwaltsrevue selbst (SAV-Publikationsorgan) -- staerkstes institutionelle-Stimme-Beispiel im Korpus, da redaktionelle Synthese statt Einzelmeinung.",kein_bezug,andere,"Allgemeine Beruhigung (Unterstuetzung statt Ersatz), keine spezifische Dimension benannt"
25,"Anwaltsrevue 2024 S. 372, R. Köchli.pdf",Anwaltsrevue,2024,post,"[...] dass im Legal Engineering Team von Legartis qualifizierte Juristinnen und Juristen bei der Playbook-Definition unterstuetzen. [Interviewpartner: RA Alexander Wüest, 'Legal Engineer/Lead GenAI']",Negotiating,,"Konkretes, reales Beispiel fuer Boundary Bridging: Juristen arbeiten im 'Legal Engineering Team' eng mit dem Softwareanbieter Legartis zusammen -- externe Kooperation, kein rein internes Rollenwachstum.",,,
26,"HAVE 2023 S. 81, M. Berger.pdf",HAVE,2023,post,"Aus meiner Sicht vertragen sich kuenstlicheIntelligenz und die Qualitaetsanspruueche, welche an eine Anwaeltin, einen Anwalt, gestellt werden, noch nicht ganz: wir koennen uns Unschaerfen (eigentlich) nicht leisten und das Abstellen auf einen Algorithmus ist da riskant.",Defending,,"Persoenlicher Praxisbericht, explizite Grenzziehung ueber Qualitaetsanspruch der Profession.",kein_bezug,smart,Qualitaetsanspruch/Unschaerfen: Verlaesslichkeit des KI-Urteils infrage gestellt
27,"HAVE 2023 S. 81, M. Berger.pdf",HAVE,2023,post,"Am Schluss bin ich ueberzeugt, wollen unsere Kunden heute wie morgen solides Handwerk und keine Glitzerwelten. Aber unser Handwerk und vor allem unsere Werkzeuge entwickeln und wandeln sich.",Defending,,Abschliessende Rahmung: 'solides Handwerk' als beharrender Kernwert bei gleichzeitiger Akzeptanz des Werkzeugwandels.,kein_bezug,andere,"Allgemeine Rahmung 'solides Handwerk', keine spezifische Dimension"
28,"NZZ Nr. 100 30.04.2024, S. 9, U. Feller et al..pdf",NZZ,2024,post,"Das aufwendige Zusammenfassen von Urteilen und Literatur, Heraussuchen von Fundstellen und Entwerfen einfacher Vertraege kann der KI ueberlassen werden. Dadurch bleibt mehr Zeit fuer die anspruchsvolleren Aufgaben.",Defending,Defending/Creating,"Wieder das 'Defending durch Erhebung'-Muster (Routinearbeiten abgeben, hoeherwertige Taetigkeit betonen) -- journalistischer Text, aber von zwei Anwaelten (Prager Dreifuss) mitverfasst.",kein_bezug,andere,"Rollenverschiebung: Routineaufgaben (Zusammenfassen/Fundstellen) abgegeben, ohne Dimensionsangriff"
29,"SJ 2026 p. 145, L. Hirsch.pdf",SJ,2026,post,Le premier argument justifiant d'exclure l'intelligence artificielle pour rendre une decision en matiere d'arbitrage est lie a la notion de l'arbitrage: le concept de l'arbitrage supposerait une decision humaine. [...] L'idee de faire appel a une machine parait aux antipodes de cette conception.,Defending,,Definitorisches Defending: Schiedsgerichtsbarkeit setzt per Begriffsdefinition menschliche Entscheidung voraus. Franz. Pendant zum SJ-frueheren AJP-Richterin-Argument.,praemisse,smart,Definitorisches Argument: Schiedsspruch setzt menschliche Entscheidung voraus
30,"SJ 2026 p. 145, L. Hirsch.pdf",SJ,2026,post,"[...] la communaute arbitrale suisse considererait conforme [...] l'utilisation meme intensive de l'intelligence artificielle par un tribunal arbitral, tant que les arbitres humains conservent le controle final.",Defending,,"Abgestuftes/instrumentelles Defending -- gleiches Muster wie Loetscher (AJP) und Kohlmeier (inside-it): KI als Werkzeug tolerierbar, solange Letztkontrolle beim Menschen bleibt. Zudem Querverweis: Text diskutiert explizit das 'black box'-Argument -- moeglich relevant fuer die Nachvollziehbarkeits-Diskussion.",thematisiert,smart,"KI-Einsatz tolerierbar, solange menschliche Letztkontrolle/Urteil bestehen bleibt"
31,"Revue de l'avocat 2026 p. 29, L. Mehmetaj.pdf",Revue de l'avocat,2026,post,"Chaque outil a permis d'accelerer, d'ameliorer et de rationaliser. Toutefois, aucun n'a pretendu penser a la place de l'avocat. L'intelligence artificielle generative, en revanche, franchit un seuil inedit. [...] Elle ne comprend pas. Elle predit.",Defending,,Epistemische Grenzziehung (verstehen vs. vorhersagen) als Ausgangspunkt der ganzen Argumentation -- setzt AI als kategorial andersartig gegenueber frueheren Tools.,praemisse,smart,"'Elle ne comprend pas, elle predit' -- KI wird echtes Verstehen/Urteilsvermoegen abgesprochen"
32,"Revue de l'avocat 2026 p. 29, L. Mehmetaj.pdf",Revue de l'avocat,2026,post,Ce deplacement du coeur de la prestation vers des taches a tres haute valeur ajoutee pourrait justifier une revalorisation des taux horaires.,Defending,Defending/Creating,"'Defending durch Erhebung' plus explizite Honorar-Konsequenz -- interessanter Gegenpol zu upskilling-mascello.pdf, wo dieselbe Dynamik als Bedrohung des Stundenhonorar-Modells gelesen wird. Guter Kontrastfall fuer die Diskussion.",kein_bezug,andere,"Honorar-/Wertschoepfungsargument, oekonomisch statt dimensionsbezogen"
33,"Revue de l'avocat 2026 p. 29, L. Mehmetaj.pdf",Revue de l'avocat,2026,post,"Un socle commun de competences, indispensable pour accompagner l'evolution de la profession [...] Les efforts de formation meritent d'etre soutenus par les organisations professionnelles [FSA, kantonale Anwaltsverbaende].",Creating,,"Neues Taetigkeitsfeld/Kompetenzbereich (Fortbildung) auf Verbandsebene -- bleibt innerhalb der Profession, daher Creating statt Negotiating.",,,
34,nzzamsonntag_260322.png,NZZ am Sonntag,2026,post,Bisher gruendete die Autoritaet eines Urteils auf einem Wissensvorsprung [...]. Wenn nun aber eine Maschine dieselben 25 Kommentarzitate innerhalb weniger Sekunden zusammenstellt [...] funktioniert das System nicht mehr. Was aber bleibt [...]? Charakter. Und Grundueberzeugungen.,Defending,,"Elaborierteste Variante des 'Adjusting/restating'-Mechanismus im ganzen Korpus: die Legitimationsbasis anwaltlicher/richterlicher Autoritaet wird komplett neu verortet (von Zitatkompetenz zu Charakter/Integritaet), nicht nur einzelne Taetigkeiten neu verteilt.",kein_bezug,andere,Zitatkompetenz (Wissensvorsprung) explizit an KI abgegeben; Grenzziehung ueber Charakter/Integritaet statt Beer-Dimension
35,"ZBJV 161_2025 S. 442, C. Riedo.pdf",ZBJV,2025,post,"Ich bin sehr wohl der Meinung, dass KI in Zukunft mindestens quantitativ Wesentliches zur wissenschaftlichen Forschung beitragen wird. Ob es ihr gelingen wird, auch Originelles zu entwickeln, wird sich zeigen muessen. Aber ich habe doch die Hoffnung, dass wir nicht ganz ueberfluessig werden.",Defending,,Hier: akademische statt anwaltliche Profession. Auffallend unsicher/gehedgt im Vergleich zu den selbstbewussten Defending-Aussagen sonst im Korpus -- guter Kontrastfall fuer Bandbreite von zuversichtlich bis unsicher.,kein_bezug,enthuellend,"Zweifel, ob KI 'auch Originelles' entwickeln kann -- Faehigkeit zu genuiner neuer Erkenntnis infrage gestellt"
36,"ZBJV 161_2025 S. 442, C. Riedo.pdf",ZBJV,2025,post,"[Hinweis: der Abschnitt 'B. Der orange Elefant' (vorheriger Bearbeitungsstand faelschlich als KI-Textstelle referenziert) behandelt tatsaechlich Wissenschaftsfreiheit/Politik, NICHT KI. Die einschlaegige Stelle ist Abschnitt A 'Der rosa Elefant'.]",Korrektur,,Zur Dokumentation: fruehere Zusammenfassung (vor Kompaktierung) hat die beiden Abschnitte verwechselt.,,,
37,"plädoyer 2026 S. 20, S. Buchbinder.pdf",plädoyer,2026,post,"Das Gericht wird mit Menschen besetzt, nicht mit Applikationen. [...] Wir wollen nicht, dass KI ueber Menschen urteilt.",Defending,,"Institutionelle Stimme (Generalsekretaer des Bundesgerichts) -- staerkstes Beispiel fuer offizielle Gerichtspositionierung im gesamten Korpus, direkt vergleichbar mit der SAV-Wegleitung (Koechli 2024) als institutionellem Ankerpunkt.",thematisiert,smart,"Gericht mit Menschen besetzt, KI soll nicht ueber Menschen urteilen"
38,"plädoyer 2026 S. 20, S. Buchbinder.pdf",plädoyer,2026,post,"Die zentrale Frage ist, ob die Kontrolle nur deklariert oder tatsaechlich wahrgenommen wird.",Defending,,"Anwalt/Digitale-Gesellschaft-Sprecher Steiger hinterfragt nicht ob, sondern OB die vom Gericht behauptete Kontrolle real ist -- kritische Reflexion ueber die Glaubwuerdigkeit der eigenen Defending-Rhetorik der Institution, passt zur Zusatzkategorie. Zudem direkt an die Nachvollziehbarkeits-Diskussion (Zerilli et al.) anschlussfaehig: 'deklariert vs. tatsaechlich wahrgenommen' ist im Kern die gleiche Frage wie bei menschlicher vs. algorithmischer Introspektion. ENTSCHEIDZWANG (Kuerzungsphase, Bernhard 15.08.2026): Kategorie 'Reflexiv/kritisch' entfernt (zu fremdkoerperhaft fuer Einzelfallcodierung). Stelle zugunsten Defending entschieden -- sie handelt vom Kontroll-/Nachvollziehbarkeitsanspruch als Abgrenzungsgrund gegenueber KI, auch wenn kritisch/hinterfragend statt affirmativ vorgetragen; keiner der anderen drei Modi (Creating/Negotiating/Coalescing) passt inhaltlich. Fuer nachvollziehbarkeit_rolle als 'problematisiert' kodiert, da die Stelle explizit infrage stellt, ob die menschliche Kontrolle real ist -- die einzige Stelle im Korpus, die das tut.",problematisiert,andere,"Reflexiv: hinterfragt die Glaubwuerdigkeit der eigenen Defending-Rhetorik, kein Angriff auf eine KI-Dimension"
39,"Anwaltsrevue 2024 S. 380, S. Brun et al..pdf",Anwaltsrevue,2024,post,Die gute Nachricht: Wir Anwältinnen und Anwälte werden weiterhin gebraucht.,Defending,,"Implizite/weiche Form: keine explizite 'KI kann X nicht'-Aussage, sondern direkte Restating-Behauptung der fortbestehenden beruflichen Notwendigkeit trotz KI-Fähigkeiten -- passt zum Defending-Mechanismus 'adjusting and restating of claims'.",kein_bezug,andere,Allgemeine Restating-Behauptung ohne spezifische Dimension
40,"Anwaltsrevue 2024 S. 380, S. Brun et al..pdf",Anwaltsrevue,2024,post,"(gesamter Text, Rest)",neutral,,"Praktischer Prompting-Leitfaden (Rollenzuweisung, Prompt-Techniken, Beispiele) -- rein instruktiv/technisch, keine weitere professionelle Positionierung gegenüber KI.",,,
41,"Anwaltsrevue 2025 S. 71, C. Laux et al..pdf",Anwaltsrevue,2025,post,(gesamter Text),neutral,,"Bericht über SAV-Studie/Online-Rechner zu allgemeinen Digitalisierungskosten von Kanzleien (Cloud, E-Mail, Scannen, DMS, Zeiterfassung etc.). KI wird nur als eine von vielen Kostenpositionen der Umfrage erwähnt (Ø CHF 240/Jahr), ohne jede Aussage zum Verhältnis von KI und juristischem Urteil/Tätigkeit -- kein Boundary-Work-Signal, da kein Bezug zur professionellen Positionierung gegenüber KI als Substitut/Ergänzung besteht.",,,
