anbieter,sprache,id,zitat,dimension,zweitkategorie_grenzfall,begruendung
Jurata,de,980,Eine Plattform. Vollständige Klarheit. Smarte Entscheidungen.,smart,,"'Smarte Entscheidungen' explizit im Text, KI als Entscheidungsunterstützung."
Omnilex,de,999,"Der KI-Workspace für Schweizer Juristen. Recherchieren Sie Gesetze, Entscheide und Kommentierungen gebündelt in einem KI-Workspace – schneller, präziser und zuverlässiger.",panoramisch,schnell,"'Gebündelt' als Vollständigkeitsversprechen, direkte Entsprechung zu 'all bundled together' im englischen Original (dort ebenfalls als panoramisch kodiert trotz zusätzlichem 'faster')."
Omnilex,de,1000,"Omnilex übernimmt mit jeder Anfrage die juristischen Rechercheschritte, die Sie sonst manuell durchführen müssten – so sparen Sie bis zu 93 % Zeit, erhöhen Ihre Effizienz und Qualität.",schnell,,"Zeitersparnis (93%) als zentrales Versprechen, direkte Entsprechung zum englischen Original."
CASUS,de,1008,"Die Präzision, die deine Stakeholder erwarten. Im Tempo, das der Markt verlangt.",schnell,,'Im Tempo' explizit als Verkaufsversprechen neben Präzision.
CASUS,de,1009,"CASUS ist da, wo du bist. [...] ein mitdenkender Partner an deiner Seite.",smart,,"'Mitdenkender Partner' -- KI als quasi-kognitive Instanz, ähnliches Muster wie Legartis/Silex."
CASUS,de,1024,"Legal Research: Recherchiere Recht im gesamten DACH-Raum anhand von mehr als 1,8 Millionen Entscheiden und weiteren Quellen.",panoramisch,,"'Gesamten DACH-Raum', '1,8 Millionen Entscheiden' -- umfassender Überblicksanspruch."
Lawise.ai (Jurilo),de,1030,"Schnelle, quellengestützte rechtliche Antworten [...] entwickelt für echte Entscheidungen, nicht für generischen Chat.",schnell,,"'Schnelle' explizit, zusätzlich Abgrenzung zu 'generischem Chat' (entspricht altem Code für Segment 229)."
Lawise.ai (Jurilo),de,1037,Kein juristischer Hintergrund nötig – einfach Fragen stellen. Klauseln und Pflichten schneller prüfen.,zugänglich,schnell,'Kein juristischer Hintergrund nötig' -- explizite Absenkung der Einstiegshürde.
Lawise.ai (Jurilo),de,1041,"Fragen in klarer Sprache: Formulieren Sie Ihre Frage, als würden Sie sie einem Kollegen stellen.",zugänglich,,"'Klare Sprache', Vergleich mit Kollegengespräch -- Zugänglichkeit (entspricht altem Code für Segment 234)."
Legartis,de,1063,Juristische Expertise für das gesamte Unternehmen. Legartis ist dein Legal AI Workspace für Vertragsarbeit.,panoramisch,,'Gesamte Unternehmen' -- unternehmensweiter Anspruch (identisch zu altem Code für Segment 172).
Legartis,de,1077,"Juristische Expertise, keine generische KI: Legartis wurde von Jurist:innen entwickelt und denkt wie sie.",smart,,"1:1-Uebersetzung des zentralen Zitats (ehem. Segment 185, englisch: 'Legal expertise, not generic AI [...] developed by lawyers and thinks like them'), auf Wunsch von Bernhard direkt ersetzt statt neu diskutiert. Anchort weiterhin Kapitel 5.4.3."
Legartis,de,1079,"Zahlen statt Versprechen: Contract Playbook-Erstellung in Stunden, nicht Monaten. AVV-Prüfung von 45 Min auf <10 Min.",schnell,,Explizite Zeitersparnis (identisch zu altem Code für Segment 188).
Libra (Wolters Kluwer),de,1102,All-in-One AI Workspace. Von Tausenden Juristen empfohlen.,panoramisch,,'All-in-One' (identisch zu altem Code für Segment 735).
Libra (Wolters Kluwer),de,1110,"Review: Dokumente sekundenschnell prüfen, nach Ihren eigenen Standards oder mit geprüften juristischen Daten.",schnell,,'Sekundenschnell' explizit.
Libra (Wolters Kluwer),de,1113,"Libra hilft dabei, Risiken zu reduzieren, indem Dokumente umfassend analysiert werden und sichergestellt wird, dass keine wesentlichen Aspekte übersehen werden.",enthüllend,panoramisch,"Kundenstimme: KI deckt übersehene Risiken/Aspekte auf ('umfassend analysiert', 'keine [...] übersehen')."
Silex,de,1124,"Die umfassendste Rechtsdatenbank der Schweiz [...] 800'000+ Quellen, täglich aktualisiert.",panoramisch,,'Umfassendste [...] der Schweiz' (identisch zu altem Code für Segment 773).
Silex,de,1126,"Keine Antwortmaschine. Ein Denkpartner: Silex stärkt Ihr Urteil, statt es zu ersetzen.",smart,,"'Denkpartner' -- KI als quasi-kognitive Instanz, explizite Abgrenzung von reiner 'Antwortmaschine'."
Silex,de,1131,94% weniger Zeitaufwand für juristische Recherche.,schnell,,"Explizite, quantifizierte Zeitersparnis."
whisperit,de,1141,"Entwerfen, neu gedacht: [...] Unsere KI versteht den Kontext und formatiert passend.",smart,,'Versteht den Kontext' (identisch zu altem Code für Segment 442).
whisperit,de,1144,Whisperit transkribiert Ihre Stimme in Echtzeit und verwandelt sie in ein formatiertes Rechtsdokument.,zugänglich,schnell,Unstrukturierte Sprache wird automatisch in strukturiertes Dokument überführt (entspricht Sinngehalt des alten Codes für Segment 435).
whisperit,de,1148,"Die Geschwindigkeit, mit der beteiligte Parteien erfasst und chronologische Abläufe erstellt werden, ist bemerkenswert.",schnell,,"'Die Geschwindigkeit' explizit, Kundenstimme (identisch zu altem Code für Segment 456)."
BetterCallClaude,de,1158,20 spezialisierte KI-Agenten. 26 Kantone abgedeckt. 70 % schnellere Rechtsrecherche.,schnell,panoramisch,'70 % schnellere Rechtsrecherche' explizit quantifiziert.
BetterCallClaude,de,1163,Das System versteht die Feinheiten des Obligationenrechts (OR) perfekt und ist damit unverzichtbar für die Fallstrategie.,smart,,"'Versteht die Feinheiten [...] perfekt' -- KI als verstehende Instanz, Kundenstimme."
BetterCallClaude,de,1166,26 Kantone + Bund: Vollständige Abdeckung aller Schweizer Gerichtsbarkeiten mit automatischer Erkennung.,panoramisch,,'Vollständige Abdeckung aller Schweizer Gerichtsbarkeiten' -- umfassender Überblicksanspruch.
DocIQ,de,1179,"Sphere verwaltet Matters, vergleicht Dokumentensets [...] und führt Rechtsrecherche, Companies-House-Intelligence, Litigation-Playbooks und Datenräume aus.",panoramisch,,"Breites Funktionsspektrum, das in einem einzigen System vereint wird."
DocIQ,de,1180,"Shield anonymisiert Gerichtsurteile in unter einer Minute, ohne je Daten zu speichern.",schnell,,'In unter einer Minute' explizit.
DocIQ,de,1189,"Schlüsselbegriffe, Verpflichtungen und Risikokennzeichen über Deal-Bibliotheken skaliert extrahieren.",enthüllend,,"KI deckt Risikokennzeichen/Verpflichtungen auf, die sonst verborgen blieben."
Lawcodex,de,1195,"Vereinfachen Sie das Recht mit KI. Entwickelt, um das Verständnis von Gesetzen zu vereinfachen.",zugänglich,,"'Vereinfachen' als zentrales Verkaufsversprechen, zweifach wiederholt."
Lawcodex,de,1197,Erweiterte DMS: Organisieren und finden Sie Ihre Rechtsdokumente in Sekunden.,schnell,,'In Sekunden' explizit.
Lawcodex,de,1201,Intelligenz: Automatisierte Analyse von Rechtsdokumenten mit unübertroffener Präzision.,smart,,"'Intelligenz' als Rubriktitel, 'automatisierte Analyse' als KI-Leistung."
Swisslex,de,1214,"Seit 1986 steht Swisslex für die umfassendste juristische Datenbank der Schweiz mit mehr als 570 Kommentarbänden, 85 Fachzeitschriften, über 6'000 Fachbüchern und gegen 760'000 Urteilen.",panoramisch,,'Umfassendste [...] der Schweiz' plus grosse Mengenangaben -- klassischer panoramischer Anspruch.
Swisslex,de,1206,"Intelligente Suche: Schnell und treffsicher finden: Mit einer KI-basierten Recherche, die Ihre Frage versteht.",smart,schnell,'Die Ihre Frage versteht' -- KI als verstehende Instanz.
Swisslex,de,1219,"Dabei kann ich meine Fragen in natürlicher Sprache wie einem menschlichen Gegenüber stellen — ein echter Gamechanger, um sich schnell zu informieren und orientieren.",schnell,,"'Schnell zu informieren', Kundenstimme."
Swisslex,de,1209,Künstliche Assistenz: [...] Der digitale Assistent liefert mithilfe von KI wertvolle Einblicke für die juristische Argumentation.,enthüllend,,'Wertvolle Einblicke' -- KI deckt Erkenntnisse auf.
Lawise.ai (Jurilo),de,1043,"Handeln Sie mit Zuversicht: Verwandeln Sie Antworten in klare nächste Schritte, Richtlinien oder Bewertungen — wobei das menschliche Urteilsvermögen die Kontrolle behält.",zugänglich,smart,"Deutsche Entsprechung des alten Segments 235 (""with human judgement in control""), aus Validierungsstichprobe übernommener Code: schwaches Signal, passt zu keiner Dimension direkt, aber Vertrauens-/Einstiegsargument am ehesten zugänglich."
Swisslex,de,1205,"Die vollständigste juristische Datenbank der Schweiz: Liefert nicht nur Treffer, sondern Antworten. Für Sie und Ihr gesamtes Team.",panoramisch,,"Direkte deutsche Entsprechung des alten Segments 846 (""Switzerland comprehensive legal database delivering not just results but answers"") -- umfassender Überblicksanspruch."
